solution ok
solution differ
internet solution 2, my solution3
i = 0 , j = 1 , w = 2
i = 0 , j = 2 , w = 7
i = 0 , j = 3 , w = 6
i = 0 , j = 4 , w = 1
i = 0 , j = 5 , w = 7
i = 0 , j = 6 , w = 7
i = 0 , j = 7 , w = 6
i = 0 , j = 8 , w = 3
i = 0 , j = 9 , w = 1
i = 0 , j = 10 , w = 7
i = 0 , j = 11 , w = 1
i = 0 , j = 12 , w = 4
i = 0 , j = 13 , w = 3
i = 0 , j = 14 , w = 5
i = 0 , j = 15 , w = 7
i = 0 , j = 16 , w = 5
i = 0 , j = 17 , w = 5
i = 0 , j = 18 , w = 1
i = 0 , j = 19 , w = 3
i = 1 , j = 2 , w = 2
i = 1 , j = 3 , w = 1
i = 1 , j = 4 , w = 7
i = 1 , j = 5 , w = 2
i = 1 , j = 6 , w = 5
i = 1 , j = 7 , w = 5
i = 1 , j = 8 , w = 6
i = 1 , j = 9 , w = 1
i = 1 , j = 10 , w = 3
i = 1 , j = 11 , w = 2
i = 1 , j = 12 , w = 4
i = 1 , j = 13 , w = 7
i = 1 , j = 14 , w = 7
i = 1 , j = 15 , w = 7
i = 1 , j = 16 , w = 4
i = 1 , j = 17 , w = 6
i = 1 , j = 18 , w = 3
i = 1 , j = 19 , w = 4
i = 2 , j = 3 , w = 1
i = 2 , j = 4 , w = 1
i = 2 , j = 5 , w = 3
i = 2 , j = 6 , w = 6
i = 2 , j = 7 , w = 5
i = 2 , j = 8 , w = 1
i = 2 , j = 9 , w = 1
i = 2 , j = 10 , w = 4
i = 2 , j = 11 , w = 4
i = 2 , j = 12 , w = 2
i = 2 , j = 13 , w = 5
i = 2 , j = 14 , w = 7
i = 2 , j = 15 , w = 1
i = 2 , j = 16 , w = 1
i = 2 , j = 17 , w = 4
i = 2 , j = 18 , w = 7
i = 2 , j = 19 , w = 4
i = 3 , j = 4 , w = 5
i = 3 , j = 5 , w = 6
i = 3 , j = 6 , w = 2
i = 3 , j = 7 , w = 5
i = 3 , j = 8 , w = 7
i = 3 , j = 9 , w = 2
i = 3 , j = 10 , w = 5
i = 3 , j = 11 , w = 6
i = 3 , j = 12 , w = 5
i = 3 , j = 13 , w = 6
i = 3 , j = 14 , w = 5
i = 3 , j = 15 , w = 1
i = 3 , j = 16 , w = 4
i = 3 , j = 17 , w = 5
i = 3 , j = 18 , w = 4
i = 3 , j = 19 , w = 3
i = 4 , j = 5 , w = 1
i = 4 , j = 6 , w = 2
i = 4 , j = 7 , w = 7
i = 4 , j = 8 , w = 4
i = 4 , j = 9 , w = 7
i = 4 , j = 10 , w = 4
i = 4 , j = 11 , w = 1
i = 4 , j = 12 , w = 6
i = 4 , j = 13 , w = 1
i = 4 , j = 14 , w = 6
